YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 02 04 14 133  5.6  6.7  1.78 10.00  7.55 147 1013.5   7.5   6.3   4.8 99.0
1999 02 04 15 151  5.8  6.9  1.88 10.00  7.14 148 1013.4   7.5   6.3   5.4 99.0
1999 02 04 16 153  6.4  8.1  1.75  9.09  6.90 149 1012.2   7.9   6.3   6.1 99.0
1999 02 04 17 155  7.4  8.7  1.63 11.11  6.51 138 1010.4   7.9   6.3   6.6 99.0
1999 02 04 18 156  7.0  8.6  1.69 10.00  6.30 146 1008.9   7.9   6.3   6.7 99.0
1999 02 04 19 173  7.6  9.5  1.88 10.00  6.04 136 1008.6   8.2   6.3   7.1 99.0
1999 02 04 20 157  5.2  6.3  1.64 10.00  6.33 142 1007.3   7.9   6.3   7.0 99.0
1999 02 04 21 156  5.7  7.1  1.83 10.00  6.69 146 1007.0   7.8   6.3   7.0 99.0
1999 02 04 22 236  4.1  4.8  1.69 10.00  6.67 146 1007.2   7.6   6.3   6.8 99.0
1999 02 04 23 289  3.7  4.8  1.91  9.09  6.91 140 1007.1   7.1   6.3   6.4 99.0
1999 02 05 00 309  4.7  6.0  1.60 10.00  6.83 132 1007.0   6.6   6.3   5.9 99.0
1999 02 05 01 290  6.7  8.6  1.51 10.00  6.67 135 1007.9   6.7   6.3   5.4 99.0
1999 02 05 02 290  8.4 10.2  1.54  9.09  6.05 139 1008.0   6.6   6.3   5.1 99.0
1999 02 05 03 291  8.7 10.2  1.39  9.09  5.60 132 1008.6   6.4   6.3   4.8 99.0
1999 02 05 04 296  8.4 10.0  1.37 10.00  5.32 132 1009.4   6.3   6.3   4.7 99.0
1999 02 05 05 310  9.8 11.9  1.26 10.00  5.01 128 1009.9   6.7   6.3 999.0 99.0
1999 02 05 06 308 10.1 12.0  1.39  9.09  4.82 131 1010.1   6.6   6.3   2.6 99.0
1999 02 05 07 295 11.6 14.0  1.36  4.55  4.61 285 1010.8   6.7   6.3   1.4 99.0
1999 02 05 08 298 13.2 15.9  1.56  4.76  4.61 292 1011.0   6.7   6.3    .6 99.0
1999 02 05 09 300 13.9 16.9  1.74  5.26  4.75 289 1011.6   6.4   6.3   -.2 99.0
1999 02 05 10 304 15.3 18.4  1.91  5.56  4.83 292 1013.1   5.1   6.3  -2.6 99.0
1999 02 05 11 313 14.7 19.3  2.18  5.88  4.98 296 1014.4   3.6   6.2  -4.3 99.0
1999 02 05 12 308 14.2 18.0  1.95  6.25  5.03 293 1015.7   2.5   6.2  -5.0 99.0
1999 02 05 13 317 12.8 15.8  2.25  6.67  5.26 289 1017.6   2.0   6.2  -6.0 99.0
1999 02 05 14 310 13.1 15.9  2.10  6.25  5.21 289 1018.5   2.0   6.2  -5.6 99.0
1999 02 05 15 309 11.0 13.2  1.73  6.25  4.80 280 1019.0   2.1   6.2  -5.6 99.0
1999 02 05 16 308  9.3 11.8  1.60  5.88  4.61 287 1019.6   2.1   6.2  -7.2 99.0
1999 02 05 17 302 11.2 13.3  1.38  5.56  4.39 286 1018.9   2.8   6.3  -7.2 99.0
1999 02 05 18 298 13.3 15.6  1.29  5.56  4.14 285 1017.5   3.5   6.3  -5.6 99.0
1999 02 05 19 298 12.3 14.6  1.40  5.00  4.21 287 1017.8   4.0   6.3  -6.1 99.0
1999 02 05 20 295 11.8 13.6  1.27  4.76  4.06 291 1018.7   4.7   6.3  -8.0 99.0
1999 02 05 21 296  9.0 11.4  1.00  4.55  3.85 282 1020.1   5.2   6.2  -6.2 99.0
1999 02 05 22 295  8.3 10.1  1.09  4.55  4.03 279 1020.1   5.5   6.2  -6.2 99.0
1999 02 05 23 296  8.2 10.1  1.10  5.00  4.07 272 1020.9   5.5   6.2  -6.9 99.0
1999 02 06 00 306  9.1 10.8   .96  4.76  4.08 278 1021.1   5.5   6.2  -5.5 99.0
1999 02 06 01 308  9.0 10.9   .99  4.76  4.06 276 1021.0   5.2   6.2  -7.3 99.0
1999 02 06 02 325  8.7 10.2  1.09  5.00  4.08 272 1020.5   4.5   6.2  -6.0 99.0
1999 02 06 03 334  8.1  9.7  1.17  4.76  4.17 280 1019.6   3.6   6.2  -6.9 99.0
1999 02 06 04 324  8.6  9.9  1.13  4.76  4.24 283 1019.4   3.2   6.2  -8.8 99.0
1999 02 06 05 318  8.0  9.3  1.10 10.00  4.37 100 1019.5   2.9   6.2  -9.0 99.0
1999 02 06 06 310  7.8  9.4  1.14 11.11  4.51  96 1019.5   2.8   6.0  -8.1 99.0
1999 02 06 07 324  7.4  8.7  1.22 10.00  4.92  91 1019.2   2.4   6.0  -8.7 99.0
1999 02 06 08 318  7.2  8.5  1.25 10.00  5.38  89 1018.9   2.1   6.0 -10.2 99.0
1999 02 06 09 308  6.6  8.4  1.26 10.00  5.70  89 1018.7   2.0   6.0  -7.6 99.0
1999 02 06 10 318  4.9  6.2  1.16 10.00  5.55  90 1018.4   2.0   5.9  -7.9 99.0
