YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
93 01 10 16 030 10.7 13.1 03.00 10.00 06.30 096 1035.8 -00.5  06.4 999.0 09.6
93 01 10 17 044 10.6 13.3 03.10 09.10 06.40 084 1035.1  00.0  06.3 999.0 08.4
93 01 10 18 039 10.5 13.6 03.00 10.00 06.60 081 1034.7 -00.3  06.3 999.0 08.1
93 01 10 19 040 10.4 12.5 03.00 10.00 06.70 085 1034.7  00.0  06.3 999.0 08.5
93 01 10 20 047 10.9 13.3 02.70 07.70 06.30 077 1034.5  00.4  06.3 999.0 07.7
93 01 10 21 047 10.2 12.9 02.90 09.10 06.30 083 1034.9  00.8  06.4 999.0 08.3
93 01 10 22 050 10.1 12.0 02.50 09.10 06.00 086 1034.9  01.1  06.4 999.0 08.6
93 01 10 23 054 09.6 11.5 02.60 09.10 06.10 080 1034.9  01.6  06.3 999.0 08.0
93 01 11 00 047 09.8 12.9 02.50 07.70 05.80 078 1034.8  01.6  06.3 999.0 07.8
93 01 11 01 046 09.8 13.3 02.60 07.10 05.80 072 1035.0  01.2  06.3 999.0 07.2
93 01 11 02 053 09.6 11.6 02.50 07.70 05.90 074 1034.8  00.8  06.3 999.0 07.4
93 01 11 03 033 10.1 12.2 02.50 10.00 05.80 105 1034.9  00.3  06.3 999.0 10.5
93 01 11 04 039 10.2 12.7 02.50 07.70 05.90 084 1034.5  00.0  06.4 999.0 08.4
93 01 11 05 040 09.8 11.4 02.50 09.10 06.00 092 1033.9  00.1  06.5 999.0 09.2
93 01 11 06 045 09.8 11.5 02.70 10.00 06.20 091 1033.5  00.1  06.6 999.0 09.1
93 01 11 07 050 09.9 12.4 02.30 09.10 05.70 092 1033.2  00.8  06.7 999.0 09.2
93 01 11 08 055 10.4 12.6 02.50 08.30 05.90 084 1032.8  01.5  06.7 999.0 08.4
93 01 11 09 052 09.7 11.5 02.50 08.30 05.80 083 1032.4  02.1  06.7 999.0 08.3
93 01 11 10 057 09.0 10.9 02.30 06.70 05.40 077 1032.1  02.4  07.0 999.0 07.7
93 01 11 11 058 08.5 10.8 02.30 09.10 05.70 084 1032.5  02.9  07.0 999.0 08.4
93 01 11 12 063 07.7 09.5 02.30 06.70 05.80 077 1032.6  03.2  06.8 999.0 07.7
93 01 11 13 055 07.3 09.3 02.00 11.10 05.70 081 1032.4  03.2  07.0 999.0 08.1
93 01 11 14 063 06.5 08.6 02.00 09.10 05.70 092 1033.0  03.3  07.0 999.0 09.2
93 01 11 15 068 05.7 07.4 02.00 09.10 05.80 081 1033.6  03.5  06.8 999.0 08.1
93 01 11 16 086 04.9 07.0 01.90 11.10 05.90 089 1033.2  03.6  06.7 999.0 08.9
93 01 11 17 091 04.4 05.4 01.80 10.00 06.10 097 1032.6  03.7  06.7 999.0 09.7
93 01 11 18 087 04.6 05.6 01.70 09.10 06.10 093 1031.5  04.0  06.7 999.0 09.3
