YEAR,WAVE,SUB_REG,ST,MODE_FX,AREA_X,ESTRIPS,NUMVAR,MODE,AREA,status
1986,3,5,36,6,5,82807.987041,584510479.45,PARTY/CHARTER BOAT,INLAND,FINAL
1986,3,5,36,7,1,23319.092951,101903205.83,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1986,3,5,36,7,2,92049.149555,1364714711.4,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1986,3,5,36,7,5,929479.15886,9478320398.3,PRIVATE/RENTAL BOAT,INLAND,FINAL
1986,4,5,36,3,1,49140.060613,295234851.15,SHORE,OCEAN (<= 3 MI),FINAL
1986,4,5,36,3,5,1478393.8209,20485680134,SHORE,INLAND,FINAL
1986,4,5,36,6,1,21846.880081,68567479.335,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1986,4,5,36,6,2,31259.429106,109911359.3,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1986,4,5,36,6,5,216551.61318,2235295699.4,PARTY/CHARTER BOAT,INLAND,FINAL
1986,4,5,36,7,1,103030.92728,457414688.78,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1986,4,5,36,7,2,272305.18633,3914529205.4,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1986,4,5,36,7,5,987632.92021,10480036177,PRIVATE/RENTAL BOAT,INLAND,FINAL
1986,5,5,36,3,1,129710.90184,1873277149.2,SHORE,OCEAN (<= 3 MI),FINAL
1986,5,5,36,3,5,834513.67036,10063772733,SHORE,INLAND,FINAL
1986,5,5,36,6,1,63665.607723,426181919.3,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1986,5,5,36,6,2,35855.880149,153098131.46,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1986,5,5,36,6,5,41167.968091,214355560.55,PARTY/CHARTER BOAT,INLAND,FINAL
1986,5,5,36,7,1,174755.34821,1481201766.9,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1986,5,5,36,7,2,180022.16851,2248317336.4,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1986,5,5,36,7,5,499839.67434,4799637685.2,PRIVATE/RENTAL BOAT,INLAND,FINAL
1986,6,5,36,3,1,15089.422538,57365150.895,SHORE,OCEAN (<= 3 MI),FINAL
1986,6,5,36,3,5,441104.88877,4318878469,SHORE,INLAND,FINAL
1986,6,5,36,6,1,11109.711779,65679509.338,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1986,6,5,36,6,2,14967.178966,58489656.896,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1986,6,5,36,6,5,30256.54519,107681004.45,PARTY/CHARTER BOAT,INLAND,FINAL
1986,6,5,36,7,1,33753.486096,168074590.85,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1986,6,5,36,7,2,25044.698147,317279182.26,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1986,6,5,36,7,5,264083.03626,1355640085.3,PRIVATE/RENTAL BOAT,INLAND,FINAL
1987,2,5,36,3,5,356088.54524,2835599532.6,SHORE,INLAND,FINAL
1987,2,5,36,6,5,107442.23058,2325214528.5,PARTY/CHARTER BOAT,INLAND,FINAL
1987,2,5,36,7,5,185546.09319,435845474.8,PRIVATE/RENTAL BOAT,INLAND,FINAL
1987,3,5,36,3,1,25972.223485,1156453183,SHORE,OCEAN (<= 3 MI),FINAL
1987,3,5,36,3,5,1018155.9712,15435697549,SHORE,INLAND,FINAL
1987,3,5,36,6,2,45439.601502,246358137.36,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1987,3,5,36,6,5,27434.116954,129286901.25,PARTY/CHARTER BOAT,INLAND,FINAL
1987,3,5,36,7,1,336284.79361,11292995245,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1987,3,5,36,7,2,229136.01706,7787421587.9,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1987,3,5,36,7,5,530915.91949,18645874688,PRIVATE/RENTAL BOAT,INLAND,FINAL
1987,4,5,36,3,1,98254.507386,2145905617,SHORE,OCEAN (<= 3 MI),FINAL
1987,4,5,36,3,5,1424403.7671,23271692229,SHORE,INLAND,FINAL
1987,4,5,36,6,1,143189.34635,630558177.04,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1987,4,5,36,6,2,69791.556472,150269086.74,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1987,4,5,36,6,5,149341.37293,828788570.15,PARTY/CHARTER BOAT,INLAND,FINAL
1987,4,5,36,7,1,236696.89895,3312646349.1,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1987,4,5,36,7,2,185590.09637,5845944525.1,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1987,4,5,36,7,5,884340.85636,12625258519,PRIVATE/RENTAL BOAT,INLAND,FINAL
1987,5,5,36,3,1,89994.839391,695105355.77,SHORE,OCEAN (<= 3 MI),FINAL
1987,5,5,36,3,5,881151.15186,9962810136.2,SHORE,INLAND,FINAL
1987,5,5,36,6,1,77270.987009,936881138.78,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1987,5,5,36,6,2,19333.722637,189722745.9,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1987,5,5,36,6,5,57043.279053,525960174.55,PARTY/CHARTER BOAT,INLAND,FINAL
1987,5,5,36,7,1,170890.0978,1782990407.3,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1987,5,5,36,7,2,110154.08738,2399766036.6,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
