YEAR,MONTH,TYPE,TrackLengthSum_km,YM
2017,Nov,PLEASURECRAFTSAILING,7615.874086575746,2017-Nov
2017,Nov,TANKER,23163.191571450487,2017-Nov
2017,Nov,TUGTOW,0,2017-Nov
2017,Oct,ALLOTHER,12200.653038957089,2017-Oct
2017,Oct,ALLVESSELTYPES,93981.97283328792,2017-Oct
2017,Oct,CARGO,18787.735728703872,2017-Oct
2017,Oct,FISHING,37920.587580691215,2017-Oct
2017,Oct,PASSENGER,9544.957076860876,2017-Oct
2017,Oct,PLEASURECRAFTSAILING,9135.139858665183,2017-Oct
2017,Oct,TANKER,8904.363624744952,2017-Oct
2017,Oct,TUGTOW,0,2017-Oct
2017,Sep,ALLOTHER,23756.305363521755,2017-Sep
2017,Sep,ALLVESSELTYPES,270022.5777419034,2017-Sep
2017,Sep,CARGO,56371.41498241683,2017-Sep
2017,Sep,FISHING,96069.32703003987,2017-Sep
2017,Sep,PASSENGER,24705.081706831395,2017-Sep
2017,Sep,PLEASURECRAFTSAILING,21710.705750541358,2017-Sep
2017,Sep,TANKER,38813.143851272434,2017-Sep
2017,Sep,TUGTOW,202.91207862663268,2017-Sep
2018,Apr,ALLOTHER,17911.51964863736,2018-Apr
2018,Apr,ALLVESSELTYPES,238679.55413566792,2018-Apr
2018,Apr,CARGO,56835.02422579321,2018-Apr
2018,Apr,FISHING,116261.27954818809,2018-Apr
2018,Apr,PASSENGER,4805.988280998945,2018-Apr
2018,Apr,PLEASURECRAFTSAILING,3624.281844168216,2018-Apr
2018,Apr,TANKER,25887.14957415712,2018-Apr
2018,Apr,TUGTOW,13315.56364852345,2018-Apr
2018,Aug,ALLOTHER,33941.44684144013,2018-Aug
2018,Aug,ALLVESSELTYPES,343617.9056066889,2018-Aug
2018,Aug,CARGO,69476.2107151947,2018-Aug
2018,Aug,FISHING,100773.16482332157,2018-Aug
2018,Aug,PASSENGER,17175.69407386825,2018-Aug
2018,Aug,PLEASURECRAFTSAILING,61823.48055309099,2018-Aug
2018,Aug,TANKER,38517.67067378846,2018-Aug
2018,Aug,TUGTOW,21379.265125154376,2018-Aug
2018,Dec,ALLOTHER,18489.818135348247,2018-Dec
2018,Dec,ALLVESSELTYPES,170239.1614418849,2018-Dec
2018,Dec,CARGO,55823.99806145829,2018-Dec
2018,Dec,FISHING,46798.0779682978,2018-Dec
2018,Dec,PASSENGER,4010.9345118308065,2018-Dec
2018,Dec,PLEASURECRAFTSAILING,3436.521851032615,2018-Dec
2018,Dec,TANKER,22360.044291629234,2018-Dec
2018,Dec,TUGTOW,18552.345284588217,2018-Dec
2018,Feb,ALLOTHER,10738.678828239888,2018-Feb
2018,Feb,ALLVESSELTYPES,175692.76828557102,2018-Feb
2018,Feb,CARGO,55193.78547835097,2018-Feb
2018,Feb,FISHING,73698.5949635191,2018-Feb
2018,Feb,PASSENGER,3580.01653886798,2018-Feb
2018,Feb,PLEASURECRAFTSAILING,483.27274771118164,2018-Feb
2018,Feb,TANKER,21039.048478896082,2018-Feb
2018,Feb,TUGTOW,10764.57910506177,2018-Feb
2018,Jan,ALLOTHER,9016.626925598137,2018-Jan
2018,Jan,ALLVESSELTYPES,172902.6833451895,2018-Jan
2018,Jan,CARGO,60863.773505686084,2018-Jan
2018,Jan,FISHING,59526.56014470612,2018-Jan
2018,Jan,PASSENGER,4499.574409775436,2018-Jan
2018,Jan,PLEASURECRAFTSAILING,238.6551777729988,2018-Jan
2018,Jan,TANKER,26599.995665393384,2018-Jan
2018,Jan,TUGTOW,12157.497491065003,2018-Jan
2018,Jul,ALLOTHER,29183.971843398125,2018-Jul
2018,Jul,ALLVESSELTYPES,279352.66248762305,2018-Jul
2018,Jul,CARGO,55950.95702389535,2018-Jul
2018,Jul,FISHING,73466.3571519559,2018-Jul
2018,Jul,PASSENGER,12904.952684361591,2018-Jul
2018,Jul,PLEASURECRAFTSAILING,61327.50748018976,2018-Jul
2018,Jul,TANKER,32134.415172309877,2018-Jul
2018,Jul,TUGTOW,13172.360558134436,2018-Jul
2018,Jun,ALLOTHER,30911.760747396173,2018-Jun
2018,Jun,ALLVESSELTYPES,356832.29254858167,2018-Jun
2018,Jun,CARGO,67073.21511704563,2018-Jun
2018,Jun,FISHING,127519.90343442955,2018-Jun
2018,Jun,PASSENGER,14033.50832818944,2018-Jun
2018,Jun,PLEASURECRAFTSAILING,69867.72828875005,2018-Jun
2018,Jun,TANKER,31357.351505619536,2018-Jun
2018,Jun,TUGTOW,14396.178737329454,2018-Jun
2018,Mar,ALLOTHER,11710.16103383144,2018-Mar
2018,Mar,ALLVESSELTYPES,154514.10320084225,2018-Mar
2018,Mar,CARGO,52701.5400392445,2018-Mar
2018,Mar,FISHING,57161.03562401724,2018-Mar
2018,Mar,PASSENGER,1862.6511835479737,2018-Mar
2018,Mar,PLEASURECRAFTSAILING,917.26316953516,2018-Mar
2018,Mar,TANKER,23202.891691813536,2018-Mar
2018,Mar,TUGTOW,6749.384819693536,2018-Mar
2018,May,ALLOTHER,21972.9020290958,2018-May
2018,May,ALLVESSELTYPES,239991.3435937465,2018-May
2018,May,CARGO,52695.83435385386,2018-May
2018,May,FISHING,97032.51428924661,2018-May
2018,May,PASSENGER,7805.434647690892,2018-May
2018,May,PLEASURECRAFTSAILING,21709.558212313354,2018-May
2018,May,TANKER,29144.337288551087,2018-May
2018,May,TUGTOW,9348.933981159336,2018-May
2018,Nov,ALLOTHER,19754.405781389774,2018-Nov
2018,Nov,ALLVESSELTYPES,162433.13077426303,2018-Nov
2018,Nov,CARGO,52796.257228985996,2018-Nov
2018,Nov,FISHING,37556.83468661654,2018-Nov
2018,Nov,PASSENGER,9424.618178185374,2018-Nov
2018,Nov,PLEASURECRAFTSAILING,11673.830290974438,2018-Nov
2018,Nov,TANKER,17989.303086019365,2018-Nov
2018,Nov,TUGTOW,13113.956057503343,2018-Nov
2018,Oct,ALLOTHER,22912.853100306333,2018-Oct
2018,Oct,ALLVESSELTYPES,240204.3998037431,2018-Oct
2018,Oct,CARGO,61842.49523590177,2018-Oct
2018,Oct,FISHING,63317.34018515649,2018-Oct
2018,Oct,PASSENGER,25071.24670517291,2018-Oct
2018,Oct,PLEASURECRAFTSAILING,23677.79568072951,2018-Oct
2018,Oct,TANKER,25461.367742005586,2018-Oct
2018,Oct,TUGTOW,17657.461494894982,2018-Oct
2018,Sep,ALLOTHER,30660.37972473293,2018-Sep
2018,Sep,ALLVESSELTYPES,296259.1386419673,2018-Sep
2018,Sep,CARGO,67667.09364505255,2018-Sep
2018,Sep,FISHING,80104.70476664002,2018-Sep
2018,Sep,PASSENGER,20721.164137671032,2018-Sep
2018,Sep,PLEASURECRAFTSAILING,45670.86079790082,2018-Sep
2018,Sep,TANKER,33832.51600261324,2018-Sep
2018,Sep,TUGTOW,17215.038066710593,2018-Sep
2019,Apr,ALLOTHER,23961.85244034314,2019-Apr
2019,Apr,ALLVESSELTYPES,190706.15300376536,2019-Apr
2019,Apr,CARGO,49814.53039009043,2019-Apr
2019,Apr,FISHING,57151.17063453212,2019-Apr
2019,Apr,PASSENGER,6707.023840644717,2019-Apr
2019,Apr,PLEASURECRAFTSAILING,4671.62992653203,2019-Apr
2019,Apr,TANKER,31560.925789322853,2019-Apr
2019,Apr,TUGTOW,15210.70614306879,2019-Apr
2019,Aug,ALLOTHER,43979.97873132129,2019-Aug
2019,Aug,ALLVESSELTYPES,285368.0492794268,2019-Aug
2019,Aug,CARGO,56775.90998358726,2019-Aug
2019,Aug,FISHING,57912.4668719967,2019-Aug
2019,Aug,PASSENGER,17710.162988852382,2019-Aug
2019,Aug,PLEASURECRAFTSAILING,58702.0807538358,2019-Aug
2019,Aug,TANKER,36432.01172737989,2019-Aug
2019,Aug,TUGTOW,13192.504205318153,2019-Aug
2019,Dec,ALLOTHER,38372.36803235796,2019-Dec
2019,Dec,ALLVESSELTYPES,180821.88946643352,2019-Dec
2019,Dec,CARGO,52943.09319766338,2019-Dec
2019,Dec,FISHING,51022.53791568311,2019-Dec
2019,Dec,PASSENGER,3736.2314045533985,2019-Dec
2019,Dec,PLEASURECRAFTSAILING,4646.680029362708,2019-Dec
2019,Dec,TANKER,20384.1841213616,2019-Dec
2019,Dec,TUGTOW,8880.648261836946,2019-Dec
