#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 07 01 50 301 13.2 16.2  2.95  7.14  5.63 999 1006.7   2.9  11.8  -1.6 99.0 99.00
2010 01 07 02 50 301 13.1 16.7  2.79  7.14  5.64 999 1007.1   2.9  11.8  -1.6 99.0 99.00
2010 01 07 03 50 308 13.5 16.1  2.99  7.69  5.82 999 1007.3   2.9  11.8  -1.6 99.0 99.00
2010 01 07 04 50 305 13.0 15.7  3.25  7.69  5.97 999 1007.2   2.9  11.8  -1.3 99.0 99.00
2010 01 07 05 50 300 13.2 15.8  3.29  7.69  5.99 999 1007.4   3.0  11.8  -1.0 99.0 99.00
2010 01 07 06 50 299 12.2 14.7  3.11  7.69  5.73 999 1008.2   3.2  11.8  -0.8 99.0 99.00
2010 01 07 07 50 299 11.9 14.7  2.68  7.69  5.47 999 1008.8   3.2  11.9  -1.1 99.0 99.00
2010 01 07 08 50 289 11.7 13.9  2.56  7.14  5.39 999 1009.1   3.0  11.9  -1.2 99.0 99.00
2010 01 07 09 50 291 11.4 13.9  2.37  7.69  5.23 999 1009.5   2.8  11.9  -1.0 99.0 99.00
2010 01 07 10 50 296 10.8 13.7  2.33  6.67  5.12 999 1010.1   2.8  11.8  -0.9 99.0 99.00
2010 01 07 11 50 298 11.2 13.7  2.27  6.67  5.23 999 1010.7   2.9  11.7  -0.8 99.0 99.00
2010 01 07 12 50 303 11.3 13.5  2.36  6.25  5.29 999 1011.1   3.1  11.7  -0.7 99.0 99.00
2010 01 07 13 50 306 10.4 12.3  2.19  6.67  5.18 999 1011.5   3.5  11.7  -0.4 99.0 99.00
2010 01 07 14 50 311 10.3 13.2  2.30  6.67  5.28 999 1012.3   3.7  11.7  -0.3 99.0 99.00
2010 01 07 15 50 307  9.9 12.5  2.19  6.25  5.16 999 1012.2   3.6  11.8  -0.6 99.0 99.00
2010 01 07 16 50 304  8.9 11.4  1.99  6.67  5.09 999 1012.0   3.7  11.6  -0.3 99.0 99.00
2010 01 07 17 50 297  9.0 11.8  1.90  6.67  4.96 999 1011.9   3.8  11.6  -0.2 99.0 99.00
2010 01 07 18 50 297  9.0 11.7  1.92  5.88  4.95 999 1011.3   4.0  11.6   0.0 99.0 99.00
2010 01 07 19 50 300  9.1 11.2  1.72  5.88  4.68 999 1011.6   4.2  11.5  -0.4 99.0 99.00
2010 01 07 20 50 293  8.6 10.2  1.77  5.88  4.70 999 1011.8   4.4  11.4  -0.9 99.0 99.00
2010 01 07 21 50 277  8.5 10.3  1.50  5.56  4.48 999 1012.2   4.7  11.4  -0.8 99.0 99.00
