"","year","month","day","hour","Dp","DpDt","DsqP","Ege","Ely","Emg","Erg","Esp","area","centers","depth","id","lat","lon","p_cent","p_edge","p_grad","pid","ptid","radius","time","type","u","uv","v","x","y","strength"
"11683",2022,6,9,12,0.788204599537566,8.04353902171395,21.4396007946294,0,0,0,0,0,409375,1,6,6,42.7585501914636,-73.6894229284214,999.990875397955,1005.99087539795,12.7741793035807,6,195,360.98214589712,44719.5,1,46.4551485203984,56.2948110753115,31.7966182156648,163,302,2
"11684",2022,6,9,15,-0.276388137918548,-2.8485676566742,8.00608109231616,0,0,0,0,0,437500,1,6,4,42.2388831465742,-72.703808142453,999.714487260036,1005.71448726004,13.2336321636709,4,195,373.176332590115,44719.625,1,27.046106267086,33.2038428234066,-19.2614463120238,162,298,1
"11685",2022,6,9,18,-1.55604873678603,-15.8696002776284,7.49563885983291,0,0,0,0,0,361875,1,6,5,42.7909465802733,-71.0337299671626,998.15843852325,1004.15843852325,14.2560106572521,5,195,339.39415148579,44719.75,1,45.4248137844817,49.8208396092896,20.4622176711058,166,293,1
"11686",2022,8,9,18,-0.146695841113542,-1.49609990087509,7.6998283006085,0,0,0,0,2,625,1,0,9,42.7909465802733,-71.0337299671626,1009.16635702698,1009.16635702698,8.96012215052506,9,169,14.1047395886939,44780.75,1,-12.6699867383465,44.7132555441877,-42.8806093404695,166,293,1
"11688",2022,8,13,12,NA,NA,17.5976304112637,3,0,0,0,0,1618125,1,6,3,38.5280981814599,-67.8868124550846,1010.88445700071,1016.88445700071,8.4453178445854,3,273,717.680419533058,44784.5,1,NA,NA,NA,154,276,2
"11689",2022,8,13,15,-0.0209454651287524,-0.229967295076575,17.5088735747804,0,0,0,0,0,1179375,1,6,4,39.1255695153713,-67.3500058104704,1010.86351153558,1016.86351153558,8.87978703679549,4,273,612.704432836917,44784.625,1,15.4351580586301,26.9936411343283,22.1452603821678,157,275,2
"11690",2022,8,16,15,NA,NA,7.8828821034063,3,0,0,0,0,91875,1,2,9,38.2244549025409,-69.9400748195532,1008.80639030988,1010.80639030988,8.14856406959193,9,351,171.010879166022,44787.625,1,NA,NA,NA,150,283,1
"11691",2022,8,16,18,-0.833071480094804,-9.29755412267862,14.3131092699878,0,0,0,0,0,71875,1,2,6,38.3727461528031,-69.6097668864874,1007.97331882979,1009.97331882979,8.79103837798298,6,351,151.256481082498,44787.75,1,9.59825680325593,11.0606091040642,5.49641156498128,151,282,1
"11692",2022,8,16,21,-1.99013678122967,-22.027072338143,13.5229798062618,0,0,2,0,0,666875,2,6,6,38.7527032375163,-69.1859357956662,1005.98318204856,1011.98318204856,10.6242020986287,6,351,460.730838287188,44787.875,1,12.2509558713558,18.6660018991747,14.0831000542525,153,281,1
"11693",2022,8,17,0,1.49721852676041,16.7218352626532,7.50535364011113,0,0,0,0,0,366875,1,4,5,38.3401414418329,-68.7961468562444,1007.48040057532,1011.48040057532,9.66695527061398,5,351,341.730799744006,44788,1,11.3317857991433,19.0326609246467,-15.2915928691195,152,279,1
